vibeName,vibeDescription,vibeCategory,vibeIQ,vibeAQ,vibeSQ,vibeHQ,vibeSubCategory
Agreeable,He’s enjoyable to talk to.,Friendly,45,20,17,30,Personal
Affable,Easy to talk to.,Friendly,0.5,2.8,4.2,1.2,Personal
Amiable,Friendly and nice.,Friendly,1.7,3.8,4.5,3.8,Personal
Charming,A “magic” effect that makes people like him.,Friendly,0.9,4.9,3.8,2.5,Personal
Polite,"Good at saying “please"".",Friendly,0.3,1.1,2.4,4.8,Personal
Likeable,Easy to like.,Friendly,1,4.7,3.1,2.8,Personal
Gregarious,Likes being with other people.,Friendly,0.7,1.9,4.9,0.9,Personal
Considerate,Always thinks about other people when he does something or talks to someone.,Caring,1,0.6,3.3,4.8,Personal
Sympathetic,Shows that they understand and care about other people’s problems.,Caring,0.5,0.8,3.8,5,Personal
Understanding,Sympathetically aware of other people's feelings.,Caring,1,2.2,3.6,5,Personal
Diplomatic,Very good at trying to help people see both sides of a situation.,Neutral,3.5,2.6,1.2,1,Personal
Impartial,Doesn’t support just one side of a disagreement.,Neutral,3,1.5,2.5,3.4,Personal
Sincere,Says what they really think and feel.,Honest,2.4,1.6,2.8,0.3,Personal
Straight-forward,Direct and honest.,Honest,2.5,2.9,1.5,2.4,Personal
Generous,Likes giving things to people.,Helping,0.9,0.6,2.8,4.7,Personal
Helpful,Likes helping other people.,Helping,0.8,1.5,4.3,5,Personal
Kind,Cares about others and likes to help them.,Helping,0.8,1.8,3,4.5,Personal
Giving,Likes giving things to people.,Helping,0.9,2.1,2.6,4.8,Personal
Energetic,Has a lot of energy.,Energy,0.3,3.5,2.5,1.2,Personal
Adventurous,Likes doing new and different things.,Energy,0.9,2,3.1,1.2,Personal
Enthusiastic,Shows a lot of excitement and interest in things.,Energy,1.5,1,3.5,1.5,Personal
Kooky,A little crazy. But in a fun way.,Energy,0.9,4.4,3.7,1.7,Personal
Cheerful,Always happy.,Social and Happy,1,3.5,4.7,1.3,Personal
Chatty,Loves talking and talks a lot.,Social and Happy,0.9,2.9,5,1,Personal
Convivial,Always in a good mood and is always friendly.,Social and Happy,1.1,2.1,4.7,2.6,Personal
Hilarious,"Very, very funny.",Funny,1,3.8,4.9,2.3,Personal